ground_truth_id,evaluation_split,record_count,source_systems,deterministic_cluster_count,evaluated_cluster_count,evaluated_cluster_ids
GT003479,evaluation,3,MARKETING | SUPPORT,2,2,ECL009752 | ECL010489
GT003481,evaluation,9,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002741 | ECL010106
GT003493,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL001736 | ECL010541
GT003505,evaluation,3,CRM | MARKETING,2,2,ECL004536 | ECL010263
GT003510,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL006223 | ECL010440
GT003547,evaluation,4,ECOMMERCE | MARKETING,2,2,ECL008825 | ECL010266
GT003584,calibration,8,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL004015 | ECL010546
GT003593,evaluation,3,CRM | MARKETING,2,2,ECL004686 | ECL009876
GT003626,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004500 | ECL009753
GT003667,calibration,16,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005489 | ECL010430
GT003684,calibration,13,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004126 | ECL010117
GT003725,evaluation,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006335 | ECL009795
GT003745,calibration,8,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008272 | ECL010376
GT003758,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007059 | ECL010175
GT003762,calibration,4,CRM | MARKETING,2,2,ECL005571 | ECL009934
GT003766,evaluation,5,CRM | MARKETING | SUPPORT,2,2,ECL001041 | ECL010403
GT003790,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL006969 | ECL010147
GT003812,evaluation,12,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007155 | ECL010394
GT003816,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL007181 | ECL010132
GT003845,evaluation,14,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004162 | ECL010482
GT003850,calibration,13,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001577 | ECL010257
GT003885,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL001181 | ECL010498
GT003889,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002748 | ECL009649
GT003900,calibration,6,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008430 | ECL009904
GT003908,evaluation,7,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL001766 | ECL010107
GT003932,evaluation,2,MARKETING | SUPPORT,2,2,ECL009561 | ECL010441
GT003936,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004922 | ECL009783
GT003957,calibration,5,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008467 | ECL009736
GT003959,evaluation,6,CRM | ECOMMERCE | MARKETING | ONLINE,3,2,ECL001454 | ECL010007
GT003967,calibration,2,MARKETING,2,2,ECL009677 | ECL009870
GT003971,evaluation,3,CRM | ECOMMERCE | ONLINE,2,2,ECL004439 | ECL008066
GT003976,calibration,5,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL003732 | ECL010329
GT003988,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005323 | ECL010467
GT003992,calibration,3,MARKETING | SUPPORT,2,2,ECL009902 | ECL010066
GT003993,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005362 | ECL010029
GT004020,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005267 | ECL010340
GT004025,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007323 | ECL009805
GT004026,calibration,3,ECOMMERCE | MARKETING,2,2,ECL007932 | ECL009548
GT004054,calibration,3,CRM | MARKETING | SUPPORT,3,3,ECL006910 | ECL010380 | ECL010648
GT004074,evaluation,9,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL001291 | ECL010502
GT004077,evaluation,6,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL009467 | ECL010633
GT004103,calibration,5,CRM | ECOMMERCE | SUPPORT,2,2,ECL002901 | ECL010434
GT004106,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007039 | ECL009716
GT004138,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003833 | ECL009542
GT004143,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007767 | ECL009558
GT004147,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005670 | ECL010014
GT004150,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005781 | ECL010523
GT004166,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL006636 | ECL010176
GT004189,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL006615 | ECL010259
GT004208,calibration,3,MARKETING | SUPPORT,2,2,ECL009922 | ECL010627
GT004210,evaluation,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000699 | ECL010267
GT004228,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006515 | ECL009523
GT004252,calibration,4,ECOMMERCE | MARKETING,2,2,ECL008099 | ECL009504
GT004270,calibration,3,ECOMMERCE | MARKETING,2,2,ECL009332 | ECL010305
GT004274,evaluation,4,ECOMMERCE | MARKETING | ONLINE,2,2,ECL009074 | ECL009703
GT004300,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004648 | ECL010180
GT004309,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL006132 | ECL010230
GT004341,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002754 | ECL009544
GT004345,calibration,8,CRM | MARKETING | ONLINE,2,2,ECL006912 | ECL009612
GT004357,calibration,3,ECOMMERCE | MARKETING | ONLINE,2,2,ECL007836 | ECL010174
GT004383,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002379 | ECL010303
GT004409,calibration,4,ECOMMERCE | MARKETING | ONLINE,3,2,ECL008120 | ECL009536
GT004411,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000114 | ECL010126
GT004449,calibration,3,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008991 | ECL010043
GT004457,evaluation,6,CRM | ECOMMERCE | MARKETING,2,2,ECL002059 | ECL009566
GT004472,calibration,2,MARKETING,2,2,ECL010064 | ECL010127
GT004499,calibration,7,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL001061 | ECL009784
GT004503,calibration,5,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008429 | ECL009044
GT004510,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005685 | ECL009863
GT004519,evaluation,8,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL004374 | ECL010433
GT004522,evaluation,3,ECOMMERCE | ONLINE | SUPPORT,2,2,ECL008931 | ECL010486
GT004525,calibration,2,ECOMMERCE | MARKETING,2,2,ECL008729 | ECL010061
GT004543,calibration,6,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL001907 | ECL010611
GT004558,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003974 | ECL010599
GT004568,evaluation,6,ECOMMERCE | MARKETING | ONLINE,2,2,ECL009174 | ECL009554
GT004593,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001873 | ECL010104
GT004609,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002489 | ECL010318
GT004650,calibration,4,CRM | MARKETING,2,2,ECL005532 | ECL010185
GT004687,calibration,2,CRM | MARKETING,2,2,ECL007169 | ECL009618
GT004695,calibration,2,ECOMMERCE | MARKETING,2,2,ECL009014 | ECL010118
GT004724,calibration,8,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL000659 | ECL010548
GT004787,calibration,4,CRM | MARKETING | SUPPORT,2,2,ECL001118 | ECL010124
GT004800,evaluation,4,CRM | MARKETING | ONLINE,2,2,ECL000138 | ECL009919
GT004801,evaluation,5,CRM | MARKETING | SUPPORT,2,2,ECL000196 | ECL009779
GT004802,evaluation,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004001 | ECL010301
GT004813,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006776 | ECL010178
GT004837,calibration,4,ECOMMERCE | MARKETING | ONLINE,3,3,ECL008309 | ECL009855 | ECL010278
GT004884,calibration,2,MARKETING | SUPPORT,2,2,ECL009908 | ECL010598
GT004915,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004980 | ECL010647
GT004922,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002173 | ECL009412
GT004934,calibration,7,CRM | MARKETING | SUPPORT,2,2,ECL002388 | ECL010583
GT004979,calibration,3,CRM | MARKETING | ONLINE,2,2,ECL003759 | ECL010020
GT004983,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001010 | ECL010485
GT005018,evaluation,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006244 | ECL009873
GT005024,evaluation,5,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008015 | ECL010280
GT005026,calibration,8,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL001513 | ECL010097
GT005044,evaluation,3,CRM | MARKETING | SUPPORT,2,2,ECL006438 | ECL010131
GT005046,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002306 | ECL009606
GT005053,calibration,6,CRM | ECOMMERCE | MARKETING,2,2,ECL004050 | ECL009803
GT005079,calibration,2,CRM | MARKETING,2,2,ECL006032 | ECL010279
GT005103,calibration,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001850 | ECL009929
GT005107,calibration,3,CRM | MARKETING,2,2,ECL006598 | ECL009829
GT005115,calibration,5,MARKETING | SUPPORT,2,2,ECL009505 | ECL010594
GT005136,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001063 | ECL009913
GT005139,evaluation,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,3,ECL002133 | ECL010021 | ECL010510
GT005180,calibration,7,CRM | MARKETING | ONLINE,2,2,ECL001971 | ECL009851
GT005212,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003177 | ECL010435
GT005232,evaluation,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002280 | ECL009599
GT005255,calibration,5,CRM | MARKETING | SUPPORT,2,2,ECL004959 | ECL010530
GT005260,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002389 | ECL009681
GT005269,calibration,4,ECOMMERCE | MARKETING,2,2,ECL008897 | ECL009719
GT005270,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL007640 | ECL010286
GT005271,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE,3,2,ECL007379 | ECL009610
GT005293,calibration,4,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008890 | ECL009792
GT005313,calibration,3,ECOMMERCE | MARKETING | SUPPORT,3,3,ECL008762 | ECL009893 | ECL010425
GT005324,evaluation,4,CRM | MARKETING,2,2,ECL001354 | ECL010096
GT005328,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL004939 | ECL009567
GT005333,evaluation,5,ECOMMERCE | SUPPORT,2,2,ECL008134 | ECL008205
GT005375,calibration,7,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002503 | ECL010239
GT005383,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001262 | ECL010472
GT005388,evaluation,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL007618 | ECL010649
GT005409,evaluation,2,CRM | MARKETING,2,2,ECL003077 | ECL009906
GT005412,calibration,6,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL007955 | ECL010496
GT005413,evaluation,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL003632 | ECL010296
GT005426,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005879 | ECL009943
GT005464,calibration,3,CRM | MARKETING,2,2,ECL003812 | ECL009789
GT005467,evaluation,10,CRM | MARKETING | ONLINE,2,2,ECL002982 | ECL009624
GT005482,calibration,2,ECOMMERCE | MARKETING,2,2,ECL009065 | ECL010060
GT005499,calibration,5,CRM | MARKETING | ONLINE,2,2,ECL006364 | ECL009580
GT005505,evaluation,3,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL007858 | ECL010306
GT005513,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000444 | ECL010293
GT005518,calibration,6,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007842 | ECL009782
GT005525,calibration,8,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008107 | ECL009594
GT005530,evaluation,3,CRM | ECOMMERCE | MARKETING,2,2,ECL005962 | ECL009699
GT005542,calibration,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL000689 | ECL010588
GT005555,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006917 | ECL009956
GT005561,calibration,3,CRM | ECOMMERCE | MARKETING,2,2,ECL005476 | ECL008427
GT005570,calibration,2,CRM | MARKETING,2,2,ECL007685 | ECL010378
GT005573,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001725 | ECL009587
GT005583,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002822 | ECL010299
GT005597,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003838 | ECL009521
GT005599,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004917 | ECL008119
GT005605,calibration,13,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001958 | ECL009927
GT005634,evaluation,5,CRM | ECOMMERCE | MARKETING,2,2,ECL004253 | ECL009579
GT005643,evaluation,3,CRM | ECOMMERCE | MARKETING,2,2,ECL005225 | ECL010220
GT005644,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000309 | ECL009603
GT005662,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL006037 | ECL009888
GT005670,evaluation,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL001142 | ECL009701
GT005682,calibration,3,CRM | SUPPORT,2,2,ECL007244 | ECL010543
GT005700,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004688 | ECL009755
GT005703,evaluation,6,CRM | ONLINE | SUPPORT,2,2,ECL006370 | ECL010447
GT005708,evaluation,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004290 | ECL008511
GT005712,calibration,5,ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,3,ECL009179 | ECL010085 | ECL010593
GT005748,calibration,6,CRM | MARKETING | ONLINE,2,2,ECL004613 | ECL009724
GT005750,calibration,6,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008323 | ECL010010
GT005756,calibration,12,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL003143 | ECL010538
GT005770,evaluation,7,CRM | MARKETING | ONLINE,2,2,ECL006594 | ECL010057
GT005798,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006694 | ECL010049
GT005800,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004475 | ECL009559
GT005806,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002143 | ECL010197
GT005833,evaluation,8,ECOMMERCE | ONLINE,2,2,ECL007813 | ECL008176
GT005840,calibration,5,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL002548 | ECL010436
GT005855,calibration,3,ECOMMERCE | MARKETING,2,2,ECL009036 | ECL009508
GT005927,calibration,4,ECOMMERCE | MARKETING | SUPPORT,3,3,ECL009032 | ECL009595 | ECL009938
GT005939,calibration,13,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001231 | ECL009698
GT006043,calibration,8,CRM | MARKETING | ONLINE,2,2,ECL002569 | ECL009660
GT006052,calibration,3,ECOMMERCE | MARKETING,2,2,ECL009354 | ECL010206
GT006073,evaluation,4,CRM | ECOMMERCE | MARKETING,2,2,ECL002545 | ECL009518
GT006077,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001934 | ECL010052
GT006081,calibration,2,MARKETING | SUPPORT,2,2,ECL010404 | ECL010650
GT006104,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001824 | ECL009899
GT006120,evaluation,4,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL009214 | ECL010610
GT006122,evaluation,2,ECOMMERCE | MARKETING,2,2,ECL008977 | ECL010027
GT006124,calibration,10,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL006018 | ECL010499
GT006127,evaluation,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000962 | ECL010542
GT006129,evaluation,5,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008227 | ECL010344
GT006148,evaluation,11,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL004136 | ECL010551
GT006163,calibration,5,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL007474 | ECL010595
GT006183,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002702 | ECL009961
GT006184,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000571 | ECL010288
GT006187,calibration,4,MARKETING,2,2,ECL010134 | ECL010191
GT006215,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL000469 | ECL009831
GT006280,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL006159 | ECL009996
GT006284,calibration,3,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL007960 | ECL009611
GT006314,evaluation,10,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003698 | ECL010620
GT006329,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004494 | ECL010339
GT006330,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,3,ECL006238 | ECL009856 | ECL010602
GT006346,evaluation,8,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL000293 | ECL010553
GT006362,calibration,8,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005160 | ECL010439
GT006372,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007603 | ECL010646
GT006390,calibration,5,CRM | ECOMMERCE | SUPPORT,2,2,ECL006413 | ECL010474
GT006406,evaluation,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003169 | ECL009809
GT006409,calibration,5,CRM | MARKETING | ONLINE,2,2,ECL005120 | ECL009796
GT006427,calibration,7,ECOMMERCE | MARKETING | SUPPORT,3,3,ECL007995 | ECL009602 | ECL010597
GT006430,evaluation,9,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000823 | ECL009770
GT006435,calibration,5,ECOMMERCE | MARKETING | ONLINE,2,2,ECL009244 | ECL010155
GT006456,calibration,4,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008778 | ECL009630
GT006457,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005034 | ECL010622
GT006500,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000675 | ECL010345
GT006516,calibration,5,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008643 | ECL010497
GT006518,calibration,13,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002578 | ECL010630
GT006528,calibration,4,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL008721 | ECL009741
GT006533,calibration,4,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL009020 | ECL010451
GT006535,calibration,3,ECOMMERCE | MARKETING,2,2,ECL008428 | ECL009691
GT006548,calibration,5,CRM | ECOMMERCE | ONLINE | SUPPORT,3,3,ECL006591 | ECL010609 | ECL010619
GT006561,calibration,3,CRM | MARKETING | SUPPORT,2,2,ECL007336 | ECL009903
GT006563,calibration,3,MARKETING | SUPPORT,2,2,ECL009530 | ECL009848
GT006571,evaluation,3,CRM | MARKETING | SUPPORT,3,3,ECL005239 | ECL009988 | ECL010419
GT006586,evaluation,4,MARKETING | SUPPORT,2,2,ECL009686 | ECL009774
GT006607,evaluation,17,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003173 | ECL010232
GT006608,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005005 | ECL010476
GT006641,evaluation,4,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL002113 | ECL009976
GT006642,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005660 | ECL009773
GT006665,calibration,13,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001538 | ECL009758
GT006668,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL000027 | ECL010059
GT006681,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001199 | ECL010062
GT006691,evaluation,6,ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,3,ECL009148 | ECL009256 | ECL010265
GT006696,calibration,3,CRM | MARKETING | ONLINE,2,2,ECL001857 | ECL010384
GT006700,evaluation,13,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003109 | ECL010552
GT006703,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL001669 | ECL010522
GT006709,calibration,5,ECOMMERCE | SUPPORT,2,2,ECL008153 | ECL010501
GT006718,calibration,8,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL000781 | ECL010422
GT006725,calibration,5,CRM | MARKETING | SUPPORT,2,2,ECL004301 | ECL009571
GT006727,calibration,4,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008516 | ECL009747
GT006729,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL006217 | ECL010088
GT006731,calibration,5,MARKETING | SUPPORT,2,2,ECL009692 | ECL010462
GT006783,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL007500 | ECL009967
GT006796,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002362 | ECL009921
GT006805,calibration,5,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008068 | ECL009844
GT006816,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL001865 | ECL010624
GT006822,evaluation,3,CRM | MARKETING | ONLINE,2,2,ECL003779 | ECL009549
GT006825,calibration,2,CRM | MARKETING,2,2,ECL004902 | ECL009647
GT006837,evaluation,3,CRM | ECOMMERCE | MARKETING,2,2,ECL002183 | ECL010411
GT006917,calibration,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004639 | ECL010234
GT006932,calibration,3,ECOMMERCE | MARKETING,3,3,ECL008045 | ECL009552 | ECL009964
GT006973,calibration,4,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008633 | ECL010258
GT006975,calibration,6,CRM | ECOMMERCE | MARKETING,2,2,ECL000484 | ECL010137
GT006993,calibration,11,CRM | MARKETING | ONLINE | SUPPORT,3,3,ECL001252 | ECL010140 | ECL010636
GT006996,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL006385 | ECL010639
GT007000,calibration,10,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL003911 | ECL010457
GT007024,evaluation,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL004216 | ECL010218
GT007027,calibration,2,ECOMMERCE | MARKETING,2,2,ECL008748 | ECL009866
GT007088,calibration,5,ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,2,ECL008905 | ECL009531
GT007141,evaluation,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003310 | ECL008960
GT007148,calibration,2,CRM | ECOMMERCE,2,2,ECL006194 | ECL009108
GT007149,calibration,9,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL001714 | ECL010574
GT007172,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL004221 | ECL010613
GT007173,calibration,9,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,3,3,ECL000267 | ECL009775 | ECL010508
GT007180,calibration,2,ECOMMERCE | MARKETING,2,2,ECL009075 | ECL010171
GT007190,calibration,4,ECOMMERCE | MARKETING | ONLINE,3,3,ECL009182 | ECL009853 | ECL010320
GT007205,evaluation,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000806 | ECL009715
GT007209,calibration,14,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003422 | ECL009732
GT007212,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL007121 | ECL010093
GT007214,evaluation,4,CRM | MARKETING | SUPPORT,2,2,ECL005490 | ECL010643
GT007232,calibration,4,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003459 | ECL009644
GT007236,calibration,5,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005862 | ECL009909
GT007237,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005385 | ECL009664
GT007247,calibration,7,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL007719 | ECL008575
GT007269,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005863 | ECL009541
GT007279,calibration,13,CRM | MARKETING | ONLINE | SUPPORT,2,2,ECL000360 | ECL010592
GT007291,calibration,3,CRM | MARKETING | SUPPORT,3,2,ECL001348 | ECL010189
GT007298,calibration,4,ECOMMERCE | MARKETING,2,2,ECL008967 | ECL010309
GT007304,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001649 | ECL009735
GT007305,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL004226 | ECL010019
GT007402,calibration,6,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL003391 | ECL009794
GT007439,evaluation,2,MARKETING,2,2,ECL010015 | ECL010295
GT007445,calibration,4,CRM | ECOMMERCE | MARKETING | ONLINE,3,2,ECL000497 | ECL009868
GT007451,evaluation,2,CRM | MARKETING,2,2,ECL000653 | ECL009875
GT007453,evaluation,5,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL003644 | ECL010628
GT007458,calibration,5,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL009086 | ECL010241
GT007491,calibration,2,CRM | MARKETING,2,2,ECL006645 | ECL010081
GT007501,calibration,7,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL006482 | ECL010461
